Date,Net_Revenue,Export_Revenue,Charge_Cost,PV_Total,Charge_PV,Charge_Grid,Discharge,Export_Battery,Curtail,End_SOC_kWh,End_SOC_Percent
2025-07-01,12301.056487473685,12414.704896,113.64840852631579,15092.45,2231.61,665.2321052631579,5238.456140350878,4976.533333333335,15064.454166666666,0.0,0.0
2025-07-02,54688.50893383334,55078.647589833345,390.13865599999997,9340.46,4251.344210526315,1542.34,5238.456140350878,4976.533333333335,9316.9625,0.0,0.0
2025-07-03,1602.6234655000003,1578.0127718333335,-24.61069366666666,15684.64,4609.520877192982,1184.163333333333,5238.456140350878,4976.533333333335,15531.093333333334,0.0,0.0
2025-07-04,848.8852067149124,808.2631410833335,-40.62206563157894,8565.98,4064.42,1729.2642105263153,5238.456140350878,4976.533333333335,8440.896666666667,0.0,0.0
2025-07-05,954.2817459692982,859.21544825,-95.06629771929823,1346.79,826.52,4967.1642105263145,5238.456140350878,4976.533333333335,1165.525,0.0,0.0
2025-07-06,1218.1653676666667,1201.6598416666668,-16.505525999999993,17589.88,4816.340877192981,977.343333333333,5238.456140350878,4976.533333333335,17587.98,0.0,0.0
2025-07-07,1239.5914215833334,1207.3794549166669,-32.21196666666666,10029.43,3518.1,2275.5842105263155,5238.456140350878,4976.533333333335,9342.9225,0.0,0.0
2025-07-08,801.1438556666668,741.0858436666668,-60.058011999999984,11769.99,4191.200877192981,1602.4833333333331,5238.456140350878,4976.533333333335,11766.52,0.0,0.0
2025-07-09,852.1241805526316,996.9415401666669,144.8173596140352,4529.75,2601.47,3192.2142105263165,5238.456140350878,4976.533333333335,3897.6983333333333,0.0,0.0
2025-07-10,1165.9668590791666,1085.0674644125002,-80.89939466666664,14031.61,4464.684210526315,1328.9999999999995,5240.121622807019,4978.115541666668,13429.4175,0.0,0.0
2025-07-11,1257.8792492500002,1268.4495619166669,10.570312666666664,11069.99,4225.350877192982,1568.333333333333,5238.456140350878,4976.533333333335,11041.23,2365.754385964914,42.98245614035091
2025-07-12,1324.7373893333336,1299.1753373333336,-25.562051999999994,14616.85,4184.484210526316,1609.1999999999996,5232.126447368422,4970.520125000002,13499.058333333334,0.0,0.0
2025-07-13,910.9469166666668,846.2629333333334,-64.68398333333333,11000.08,3982.5242105263146,1811.1599999999996,5238.456140350878,4976.533333333335,11000.08,0.0,0.0
2025-07-14,1403.1905431750001,1566.840603175,163.65006,10586.82,3574.89754385965,2218.7866666666664,5239.22951754386,4977.268041666667,8740.4425,0.0,0.0
2025-07-15,989.5783932000003,1089.071835866667,99.49344266666664,15856.36,4713.057543859649,1080.6266666666663,5238.845921052633,4976.903625000001,15311.6925,0.0,0.0
2025-07-16,1244.4281640642548,1292.5476613625003,48.11949729824551,18217.67,4732.14,1061.5442105263141,5234.308377192984,4972.5929583333345,17480.769166666665,0.0,0.0
2025-07-17,1247.637341016667,1294.8851796833335,47.24783866666666,14829.34,4331.594210526315,1462.0899999999997,5238.707192982458,4976.771833333334,14681.693333333333,0.0,0.0
2025-07-18,1628.87984275,1642.5890070833334,13.709164333333321,18598.71,5187.860877192981,605.8233333333328,5238.456140350878,4976.533333333335,17754.475833333334,0.0,0.0
2025-07-19,946.6061200000001,897.7184533333335,-48.88766666666666,7216.01,3281.184210526316,2512.5,5238.456140350878,4976.533333333335,7216.01,917.3333333333348,16.666666666666693
2025-07-20,962.766850635965,959.4964202500001,-3.2704303859649206,16532.72,4698.566666666667,1095.1175438596472,5238.456140350878,4976.533333333335,16334.289166666667,0.0,0.0
2025-07-21,625.9313267499999,513.4103690833333,-112.52095766666662,18449.84,4804.120877192982,989.5633333333329,5238.456140350878,4976.533333333335,17934.26,0.0,0.0
2025-07-22,800.4532027500001,712.1751677500001,-88.27803499999999,11645.41,4385.397543859649,1408.2866666666664,5238.456140350878,4976.533333333335,11433.111666666666,0.0,0.0
2025-07-23,1422.196128666667,1424.068840666667,1.8727120000000002,17038.58,4882.330877192982,911.353333333333,5238.456140350878,4976.533333333335,17035.1,0.0,0.0
2025-07-24,1333.5970940000002,1309.2463186666669,-24.35077533333332,12507.5,4915.177543859648,878.5066666666662,5238.456140350878,4976.533333333335,12330.453333333333,0.0,0.0
2025-07-25,492.88079971052645,719.2656088333334,226.38480912280696,1181.05,1004.7,4788.984210526315,5238.456140350878,4976.533333333335,964.7316666666667,0.0,0.0
2025-07-26,1043.492051377193,979.1488318333334,-64.34321954385965,10387.85,3897.65,1896.0342105263157,5238.456140350878,4976.533333333335,10277.571666666667,0.0,0.0
2025-07-27,504.8370883333334,408.2631193333334,-96.573969,10119.04,4039.9442105263165,1753.7399999999998,5238.456140350878,4976.533333333335,10101.013333333334,0.0,0.0
2025-07-28,1882.6617333508773,1903.582235,20.92050164912276,12996.17,4991.77,801.9142105263146,5230.347807017544,4968.830416666668,12551.000833333334,0.0,0.0
2025-07-29,1560.0450952500005,1839.6081785833337,279.56308333333334,8004.59,3448.6842105263145,2345.0,5238.456140350878,4976.533333333335,7793.841666666666,0.0,0.0
2025-07-30,1632.9451759708334,1692.8628853041666,59.91770933333331,17596.15,4908.987543859648,884.6966666666664,5235.70697368421,4973.921625,17083.97,0.0,0.0
2025-07-31,608.9078220499998,839.8589800499998,230.95115799999996,2117.23,2113.12,1072.4499999999998,2881.8988684210517,2737.8039249999993,1449.6925,0.0,0.0
